company_id,time_in,time_out,from_city,to_city
43, 2016-11-09T11:44:44.797,2016-11-09T17:00:00.797,Berlin,Astana
543,2019-07-25T21:52:00.797,2019-07-25T22:52:00.797,Paris,Marseille
111,2020-01-14T00:10:25.797,2020-01-14T03:30:25.797,Amsterdam,Madrid
2,  2019-08-01T09:30:00.797,2019-08-01T14:00:00.797,Lisabon,Moscow
43, 2016-11-11T18:35:34.797,2016-11-11T20:10:00.797,Munchen,Brussell
16, 2020-03-29T12:15:10.797,2020-03-29T13:05:10.797,Moscow,Voronezh
1,  2019-10-09T02:40:32.797,2019-10-09T06:50:32.797,Santander,Lvov
16, 2016-10-19T00:15:15.797,2016-10-19T00:17:05.797,Erevan,Sochi
43, 2020-02-28T07:45:12.797,2020-02-28T10:00:05.797,Kiev,Vienna
543,2019-08-30T22:20:43.797,2019-08-30T23:55:12.797,Sofia,Monaco
